Anneal time,QPU time,Chain strength,Total reads,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
20.0,277745.16,31.67529278103625,1000,0.0,-539.2582775041177,146.67939313219557,0,0
30.0,287745.16,31.67529278103625,1000,0.0,-551.8786548974292,136.79632138663632,0,0
40.0,297745.16,31.67529278103625,1000,0.0,-560.3369441900003,157.093811849037,1,0
50.0,307745.16,31.67529278103625,1000,0.0,-557.8780350406998,145.3857007937976,0,0
10.0,267745.16,31.67529278103625,1000,0.0,-571.896907678198,148.29054900798047,1,0
60.0,317745.16,31.67529278103625,1000,0.0,-588.8199360411005,138.4230805482166,0,0
70.0,327745.16,31.67529278103625,1000,0.0,-580.0527817042793,156.19738342000733,1,0
80.0,337745.16,31.67529278103625,1000,0.0,-572.7304163418826,147.68007151971887,3,0
90.0,347745.16,31.67529278103625,1000,0.0,-602.7404007437434,149.49146510754747,0,0
100.0,357745.16,31.67529278103625,1000,0.0,-580.1448115074184,141.7103252924135,1,0
110.0,367745.16,31.67529278103625,1000,0.0,-574.9908244644422,147.42587149455215,2,0
120.0,377745.16,31.67529278103625,1000,0.0,-576.6394331955411,139.12370246470294,0,0
130.0,387745.16,31.67529278103625,1000,0.0,-587.2237654366501,154.62711459883099,2,0
140.0,397745.16,31.67529278103625,1000,0.0,-558.0092469743406,156.97599370415753,0,0
150.0,407745.16,31.67529278103625,1000,0.0,-571.5373037026043,143.9678373035815,0,0
160.0,417745.16,31.67529278103625,1000,0.0,-611.9765640813374,156.03992131766068,1,0
170.0,427745.16,31.67529278103625,1000,0.0,-563.7387549703375,144.95327500196888,0,0
180.0,437745.16,31.67529278103625,1000,0.0,-603.8708591947427,149.64041149756227,2,0
190.0,447745.16,31.67529278103625,1000,0.0,-557.4702447124395,146.17831879258128,1,2
200.0,457745.16,31.67529278103625,1000,0.0,-588.8399413953645,155.95482764414305,0,1
10.0,267745.16,31.67529278103625,1000,0.0,-559.279301435957,154.61747463140438,1,0
20.0,277745.16,31.67529278103625,1000,0.0,-549.8436915212638,139.4139614037955,1,1
30.0,287745.16,31.67529278103625,1000,0.0,-550.1477674308408,143.2874476188223,0,0
40.0,297745.16,31.67529278103625,1000,0.0,-547.9458998756842,141.1539998064383,1,0
50.0,307745.16,31.67529278103625,1000,0.0,-541.2800726497287,142.1326594875114,2,0
60.0,317745.16,31.67529278103625,1000,0.0,-554.4345753264279,146.99043322855238,0,1
70.0,327745.16,31.67529278103625,1000,0.0,-553.5997633059123,132.09132287942512,0,0
80.0,337745.16,31.67529278103625,1000,0.0,-549.2696673363123,136.91879478573503,0,0
90.0,347745.16,31.67529278103625,1000,0.0,-573.3251421173351,153.1072426030448,0,0
100.0,357745.16,31.67529278103625,1000,0.0,-555.2481780113155,152.9780562341009,0,0
110.0,367745.16,31.67529278103625,1000,0.0,-540.6299173334116,150.1952535459789,1,0
120.0,377745.16,31.67529278103625,1000,0.0,-553.8351460562275,141.60950286090866,1,0
130.0,387745.16,31.67529278103625,1000,0.0,-565.964545099028,152.66832468360457,1,1
140.0,397745.16,31.67529278103625,1000,0.0,-602.6641661639925,154.7105187784329,2,0
150.0,407745.16,31.67529278103625,1000,0.0,-566.7261788907518,144.28348243460604,1,0
160.0,417745.16,31.67529278103625,1000,0.0,-551.0370259159788,139.44839089664134,0,0
170.0,427745.16,31.67529278103625,1000,0.0,-582.8226357489513,147.91468007780495,1,0
180.0,437745.16,31.67529278103625,1000,0.0,-576.3756320440544,143.19907722495816,1,0
190.0,447745.16,31.67529278103625,1000,0.0,-575.3788067951403,134.6934095081242,0,0
200.0,457745.16,31.67529278103625,1000,0.0,-584.9631002921592,144.7071318014851,0,1
10.0,267745.16,31.67529278103625,1000,0.0,-565.3820832463865,157.90144325465718,1,0
20.0,277745.16,31.67529278103625,1000,0.0,-539.1126692500595,150.4658703851249,0,0
30.0,287745.16,31.67529278103625,1000,0.0,-538.8445251149385,140.19886762984572,0,0
40.0,297745.16,31.67529278103625,1000,0.0,-548.6234743136051,146.78428481010857,1,0
50.0,307745.16,31.67529278103625,1000,0.0,-547.9644272704116,147.91587267985423,0,0
60.0,317745.16,31.67529278103625,1000,0.0,-567.6126661755428,142.69715731728198,0,0
70.0,327745.16,31.67529278103625,1000,0.0,-576.6678089259168,147.60174627923848,1,0
80.0,337745.16,31.67529278103625,1000,0.0,-539.6664662613556,143.9123536713679,1,0
90.0,347745.16,31.67529278103625,1000,0.0,-555.4656180500726,151.17931077757893,0,0
100.0,357745.16,31.67529278103625,1000,0.0013297872340425532,-560.5628268087819,148.91565380744166,1,0
110.0,367745.16,31.67529278103625,1000,0.0,-586.8199328284195,142.3736844798365,1,0
120.0,377745.16,31.67529278103625,1000,0.0,-579.0441558292957,145.96129916565243,1,0
130.0,387745.16,31.67529278103625,1000,0.0,-578.6668189982231,142.27404943594067,1,0
